Date,SPY,IVV,VTI,ITOT,IWB,IWD,IWF,IWM,IWN,IWO,IJH,IJJ,XLK,XLF,XLV,XLE,XLI,XLY,XLP,XLU,XLB,SHY,IEF,TLT,LQD,AGG,TIP
2006-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-01-31,0.356330239281288,0.3591501284746138,0.1410120167060955,0.27244392082272395,0.23562733099132782,-0.5446231486465751,1.073127960791137,-0.0989197281172252,-0.7198894191398548,0.5396012152604418,-0.30147404869649763,-0.6107298134279319,1.457875627899444,0.1901925193449706,1.4487632287130638,-3.0676389849332284,0.08084730137132293,0.6196894207680309,0.6127286588154279,-1.4325635002191055,-0.6115509260594667,,,,,,
2007-02-28,0.39425448988691075,0.3848925352577136,0.16134372001891256,0.3050137453743741,0.25147110497317504,-0.46627501417367023,1.0281536741503259,-0.17831433507937589,-0.6472476085540769,0.37411194154905303,-0.37217520190723113,-0.7177674329330638,1.2395936771712952,0.42157351007385546,1.4693666892457478,-2.803168794085521,-0.09217778797389074,0.7885683596487632,0.9217264961682318,-1.8443108446182388,-0.618632924193284,,,,,,
2007-03-31,0.3593812426389673,0.35537740929747097,0.15855470659057577,0.2870676938324119,0.2219236769345989,-0.44899199673168255,0.9663445326167398,-0.019065107579439623,-0.4788471280343054,0.47387962707934794,-0.2552777385521727,-0.6052699830894843,1.0914477999130954,0.5131829010528948,1.2587702745195288,-3.0110016140333657,-0.07911616886508963,0.9069906144175959,0.882953589738857,-1.8034609919714637,-0.7748433397750826,,,,,,
2007-04-30,0.3329369078645638,0.33815301512607704,0.14001958961382094,0.3260524715620335,0.21681063858521976,-0.47400575641853115,0.96990897846005,-0.1100715591661438,-0.4910054474597494,0.3375615843918333,-0.2814997345360566,-0.6228738702654035,0.8922591053758259,0.3437907861857225,1.369764821921275,-2.78320786615133,0.01995164406500605,1.0613806021352008,1.1775130381882593,-1.9873319370005273,-0.77610701247715,,,,,,
2007-05-31,0.35765392360094594,0.35868219632134296,0.13493585990888254,0.2519296370800411,0.2131635590099485,-0.4721791071678483,0.9637086589529065,-0.09965402287220074,-0.4679083284852356,0.3138476561910028,-0.2971369405463771,-0.587821803127377,0.9297629219084439,0.43147272110497753,1.3222570862816667,-3.009476154032427,-0.0070114079905421595,1.0077804016455318,1.1467933629108067,-1.7007281851643732,-0.7900720355301144,,,,,,
2007-06-30,0.31053294682024435,0.3126137786995424,0.10258131125851092,0.2388797159605656,0.19020064908115975,-0.476581129538231,0.9207495850256971,-0.02248825219438839,-0.2985407781284357,0.3056030320511385,-0.33607936080472134,-0.5393887307488365,0.8992089658694077,0.48058204624199774,1.3428076019464235,-3.094935349182886,0.10539871449232863,0.926485835297913,1.1172460942888047,-1.6973735131053926,-0.7875031633308477,,,,,,
2007-07-31,0.3074988836730096,0.32199247467830555,0.08237392892036641,0.22509350866333114,0.16817181070686338,-0.2499806275163249,0.673684274555009,-0.03520860623309288,-0.032115487276249174,-0.012697742530339654,-0.3874960957404832,-0.5587610001548765,0.4786625541481512,1.0952556344019846,1.4093556924516195,-3.147197603337808,-0.21654689602478686,1.1791013614666332,1.0354310044779391,-1.4648487668433716,-0.8717683024858697,,,,,,
2007-08-31,0.3218793495106802,0.33073369478570475,0.06115284902452561,0.1787079364269775,0.18870302505727105,-0.18420753413638566,0.5921443339079527,-0.2418252659913879,0.006698353059469668,-0.30857363705036367,-0.41672012394329966,-0.501579144049019,0.053068732780437826,1.2654985569604826,1.4793451900241599,-3.2235923799443316,-0.12501646829837618,1.2303974882375768,1.103836078250329,-1.2058871203260941,-0.6047639142863193,,,,,,
2007-09-30,0.21154379341138171,0.19845668848921988,-0.002619382253446902,0.16837888972664866,0.06901304282909344,-0.2439373565029821,0.4263422888865445,0.14796054815798954,0.3992965338824366,0.04329128515423645,-0.31218990267350305,-0.3145802157071224,0.0981401684301332,1.1571214746490674,1.2521952891335786,-3.1804925640127206,-0.2325296296718031,1.7312479865196382,0.6563181117839426,-1.4233102646808533,-0.8496467855514809,,,,,,
2007-10-31,0.2317995850069691,0.21283874646783738,0.04343076500197944,0.19935905682181948,0.11210563812541577,-0.06561982434598959,0.3157620890873502,0.11864722111472072,0.4379136399517619,-0.11779685613850592,-0.3255631053016867,-0.3137780693304966,0.0661938584554352,1.27216227729245,0.8594986578946997,-3.1010155730108324,0.015949017037841108,1.9647573005775556,0.5714192495167035,-1.3785863400455753,-1.1194773341794566,,,,,,
2007-11-30,0.12866192321805572,0.1280081030993612,0.019725450637905487,0.14213019167431956,0.02640601106227447,-0.038350154955225764,0.1385354125210827,0.5945859791452005,0.9449166037797677,0.31277431659809896,-0.2183345799171529,-0.09026418755627381,0.30945266327595955,1.367186476078441,0.15564534532458235,-3.0215816531773845,-0.028667121772920186,1.8969322934195882,-0.19044310983514365,-1.7625756086240318,-0.8147443539965062,,,,,,
2007-12-31,0.12359807957833066,0.10759534584098193,0.032030157898747684,0.1330538796269449,0.048437360769759505,0.02834242881965175,0.14641147054023632,0.43866220042817816,0.7393885082797927,0.21502124280328028,-0.12045020983676157,-0.009804066464694202,0.05644811217404232,1.508142247819919,0.40128644745177533,-3.144901277312796,-0.09906641865334748,1.9176817146815672,-0.113366626538038,-1.520584287792795,-0.8879263101147797,,,,,,
2008-01-31,0.1754934398670056,0.17405870878895988,0.04959871425186097,0.1568048185141915,0.07038089401554601,-0.06990946115555512,0.2665573462898238,0.46675697132271615,0.6385248287938896,0.3849370116414224,-0.1671773208067216,-0.11232749171002761,0.39557549641236134,1.3843837013394142,0.33343615820326455,-3.108525774657625,-0.19337539037833332,1.8149531908892478,0.10344615056641757,-1.447617760018796,-1.3159742321690562,,,,,,
2008-02-29,0.14201655329741006,0.15320645387853735,0.011652229410646822,0.18655052072694644,0.0632203158572579,0.10263287442164837,0.0926642173446839,0.4205719301584352,0.6398629667348539,0.3558854244830598,-0.16277724911048458,3.3313553183815816e-05,0.3808494694950317,1.8340840772611395,0.3713707125326091,-3.0417113861355216,-0.3318895255770209,1.648082473393346,-0.2753519334949603,-1.3214466712034028,-1.2695067670273945,,,,,,
2008-03-31,0.16434310724467693,0.15711458732387543,0.032719591284434614,0.1637744351619118,0.09942875047496286,0.08155355371044835,0.08522773982417003,0.3442475980286803,0.556216246350683,0.21600781384219594,-0.08387729836575444,0.0028692013257245403,0.23646977026334118,1.8347883791282755,0.767954851270915,-2.948502992584189,-0.5019577470728349,1.7656896560049304,-0.4806528376903446,-1.2428558509470151,-1.250558554579088,,,,,,
2008-04-30,0.21164555988103653,0.20641081885889603,0.06146664478843453,0.1699015112068202,0.14221531806399884,0.18536594812606125,0.09189300003497458,0.12113586810510457,0.38529006891441864,-0.10176020282456802,-0.30904124013178286,-0.17284193985663426,0.06564842044386832,1.726272934319928,1.3714484493657542,-3.075188901915556,-0.3981421148035795,1.5044203872975128,0.051760090239328774,-0.7532280318593355,-1.4846725882546834,,,,,,
2008-05-31,0.21811879256639405,0.22238065906184415,0.09831697543491921,0.19986199349347478,0.15985467398776004,0.2497314312064946,0.11435803080395784,0.14767460352226178,0.4301412618134495,-0.06657103802084827,-0.30282828275109014,-0.14935469692822287,0.02010590566119036,1.9987708670583229,1.0726775836746996,-2.938860859518715,-0.2682979256671066,1.414350416700013,-0.0552867615040443,-0.9093077449691349,-1.6558358856256175,,,,,,
2008-06-30,0.1728906515619655,0.17693960741647033,0.08674286939195183,0.1698023116967685,0.12688686446876613,0.31008579512682194,-0.02591498915832139,0.2594335405760338,0.6243004874554642,-0.06059121176224925,-0.2334732788973655,0.03193229529810977,-0.015202741783503244,2.289073724739488,0.6561353112102647,-2.8165796320858587,-0.1839208774238359,1.353718839250866,-0.3119207551906769,-0.9185643910324457,-1.6917744208587144,,,,,,
2008-07-31,0.19145656946005285,0.18821290875130062,0.09731689523721787,0.16823553659398113,0.15214381098440036,0.28582366037292034,0.08629779140821044,0.18070460012065875,0.5566027279519375,-0.060104725266356844,-0.1782117895197924,0.08094224571248414,0.16458376926918086,2.2843571862756336,0.37350151425508243,-2.3869039389601836,-0.37566533200010005,1.749415568183312,-0.6806636299204659,-0.9366146373219515,-1.9414307315875223,,,,,,
2008-08-31,0.2411393720168464,0.23926878453728653,0.13273194672072217,0.17995404170169702,0.21128754382866255,0.36794186247905053,0.10481649932286509,0.012813515929614196,0.29026366399267217,-0.1899222884198512,-0.1610649042974125,0.09241972841783155,0.1936655628879237,2.672214761247383,0.44742964780037026,-2.0077906718758154,-0.5683207613030156,1.4222381004933986,-0.8568302689651219,-0.7011969908553155,-2.1230591456597936,,,,,,
2008-09-30,0.2865232674370105,0.23626821470714343,0.13954215653401308,0.21652163959823947,0.26749125475922864,0.29599279960456804,0.2392019241554188,-0.20019340672851754,-0.3303375323804787,-0.07716397018343572,-0.08111071096727973,-0.026840683712207988,0.4701898396748523,2.9075293476173867,0.2351671549976634,-1.423566714467667,-0.35693065608340213,1.2746993934438584,-1.7051285619403425,-0.41025024419113126,-1.9576045118749208,,,,,,
2008-10-31,0.13969479478969063,0.12237211775798922,0.09784915032321075,0.20785052859380462,0.18700248305904338,0.14702938291098286,0.2807180913914156,-0.0016500212283487785,-0.06624980302082986,0.12729275526574707,0.20097161725015575,0.28630239603802055,0.27035966658206895,3.1118432319532223,-0.3916534907309681,-1.6747280906597597,-0.19757122636813046,1.1287850580001826,-1.7989190343974049,-1.0872015535154609,-1.0900980539946306,,,,,,
2008-11-30,0.03195428581396013,0.03644648116669168,0.07299098941332335,0.07402348878147684,0.12583081039961078,0.037570935526713645,0.22846551455526734,0.2862869818559666,0.16558614723040313,0.41167070383794624,0.29198297386586713,0.278277266819552,0.3015897137015542,2.9927791633466994,-0.5411301226498696,-1.659194808661999,-0.06427443804308461,0.9327927399175554,-1.881652803157657,-1.6593878740422752,-0.46260814967769937,,,,,,
2008-12-31,0.0967229525467489,0.10399607891621843,0.1097215286104616,0.10325368822500669,0.16718325095496608,0.0769605319889792,0.24977908341315,0.1345812508091254,-0.04922669819505744,0.30180456767879343,0.24394799364103403,0.18814823524039326,0.19356631582510253,3.1790896934043795,-0.6964971276509726,-1.3781372301034487,-0.052060607369584205,0.7894114622666059,-2.0049871129673056,-1.5627537302241679,-0.19450412701043127,,,,,,
2009-01-31,0.0007874079969248306,0.005469332588182219,0.040497123367757064,0.07229064031033297,0.04613593509199192,0.22346858158456887,-0.08300877133513737,0.3797805802317195,0.4253327314610128,0.3878380082046303,0.18297087426514216,0.2189671061542542,-0.0546633691355079,3.248974847569416,-1.0360556773350942,-0.9660766578187315,-0.017119644296799675,0.6524918393575062,-1.8381864340787244,-1.7262289164016336,-0.16366553778180853,,,,,,
2009-02-28,0.012195120385004428,0.005615634213512436,0.022540830775636986,0.044948162113350905,0.04378164713624573,0.3562551100691076,-0.23401522408410172,0.4095737601779175,0.5510955315418034,0.3350135548602457,0.07119051813435973,0.21154440309139383,-0.3797781144852263,3.2970653582620297,-0.8322038006006932,-1.24293154689946,0.4231817475554834,0.5354098575633076,-1.789893083822944,-1.4515769373656353,-0.3890125286213392,,,,,,
2009-03-31,-0.006931707690556092,-0.00502901997087798,0.02444388145826735,0.033357501686756885,0.03119259425521251,0.35902716856498035,-0.2510691439048286,0.5796599359949601,0.6983465131401011,0.4711277300196849,0.08995902064762389,0.2823273393972901,-0.5103311428695042,3.2059182213839508,-0.9287572862871218,-1.0128161549548866,0.5278015137883431,0.31350896542229606,-1.7618423420283023,-1.557077084533423,-0.5828165035199592,,,,,,
2009-04-30,0.08631023921655616,0.08008486369190423,0.05423063990041342,0.09519587337909236,0.08917667851463403,0.5537331715786946,-0.30635656522043725,0.47673661427645103,0.6242912773774821,0.3568072116627525,-0.024068058538345895,0.20648058266516064,-0.6949802878518998,3.383401745428913,-0.7452522610867898,-0.824850953590306,0.38781510332728447,0.05725534613904354,-1.7690829676344448,-1.3182469143292233,-0.7686813389069408,,,,,,
2009-05-31,0.052074597461014296,0.05112416432969455,0.026852230340545197,0.08874045754172882,0.05003404649495302,0.529253926052879,-0.3643639199122868,0.4343337673632147,0.7504692207905374,0.17400708565654088,-0.010836810863846448,0.3439498164204316,-0.7820183755382898,3.2583868797481848,-0.8176451431736481,-1.2645368411082543,0.5848702348406994,0.4764357885286026,-1.6581763857983147,-1.0181860988432563,-0.904768640331128,,,,,,
2009-06-30,0.06671135412579578,0.059947602506586505,0.00792928647058499,0.07603051665320777,0.05429865483255708,0.6229207755121624,-0.4390204555973183,0.3261549673033221,0.8140201809155105,-0.03746614101450749,-0.07759741832616691,0.2566920627110613,-1.0395577676366161,3.306684366434171,-0.971525192086778,-0.7382714842729777,0.682067811308065,0.45247109269608826,-1.591107539142727,-1.213830644225414,-0.6175520291666141,,,,,,
2009-07-31,0.17775581856224093,0.17143129970874443,0.062214387518551205,0.15738001507546026,0.14077807896974273,0.8760304267582759,-0.5128529169291578,0.14294061827452842,0.6546540310203143,-0.28527637125503136,-0.25689963599746696,0.10330753143165355,-1.250192009738049,3.4740671585131104,-0.5366792919753125,-0.37962223551051594,0.36275906327249285,0.22952976977515047,-1.4848999999713528,-0.705334073683152,-1.1410916638202246,,,,,,
2009-08-31,0.19777829853428897,0.19422375620259993,0.06886222851803904,0.1693532033641439,0.17334324896454406,0.8466002306979785,-0.43927870310174155,0.2717870214057895,0.714289910086456,-0.12109621453726993,-0.4341860382143432,-0.052649716536263866,-0.987181457159092,3.488587453881028,-0.5224224404060626,-0.8216534786881071,0.2603436924312135,0.25660046856013047,-1.4587481571081753,-0.6044711396808925,-1.2000821672142594,,,,,,
2009-09-30,0.29257116005197065,0.2821926865143399,0.10674453910978211,0.23037746890794927,0.22554989248292145,0.8349939786595928,-0.3140539017704132,0.08929040414658629,0.5566394881711785,-0.31867490418866684,-0.550439238293741,-0.21610633310056157,-0.7718612066459731,3.459864277009371,-0.24614526682667742,-1.225735517766104,0.27410284227100923,0.4685289378749076,-1.3894257133706125,-0.5774169150319478,-1.210996678204905,,,,,,
2009-10-31,0.13683668414856645,0.13088673247010985,0.035825295398652646,0.11245280991218778,0.10094622973546347,0.7084197086784012,-0.42726335009408445,0.4113728113760574,0.7864168336514671,0.08504538569678854,-0.3950338807890351,-0.009000885338452138,-0.8256545081429025,3.3409300482990054,-0.5148971355364131,-1.4496356774588417,0.23241438359855235,0.5220884078656447,-1.6872879145980535,-0.44418294559505317,-0.8506790332780654,,,,,,
2009-11-30,0.509809472017288,0.5092257758234379,0.50034502887638,0.5098135885410064,0.5059026228058723,0.6209170494379859,0.40695481008480056,0.5963024665922513,0.6710306869020121,0.5369622786833024,0.4469219729442804,0.5125483402814326,0.3527937865187516,1.1993880566205317,0.33666287493802327,0.33029298782506383,0.5047780136528375,0.565272334940894,0.1768014138631927,0.4268268524198185,0.3103782031977044,-1.6835679607795258,-0.8376422467714718,-1.7335590884166499,-2.273140656438892,-2.33323800652438,-1.6687806580359479
