,CVaR_95%,CVaR_97%,CVaR_99%
AGG,-0.022003620453088055,-0.026429122964006554,-0.02881726276923872
GLD,-0.1282353237131125,-0.14597385220951067,-0.16522098037303276
IAU,-0.12810708248177918,-0.145632461200212,-0.1645604248148178
IEF,-0.02727019757775975,-0.03159645064498146,-0.034021595282749846
IJH,-0.08003215722819292,-0.09774817010623423,-0.12174255328619234
IJJ,-0.0806633831371008,-0.10025280560318867,-0.12305451003691877
IWB,-0.07705921638082608,-0.09064897501350228,-0.10274342001433019
IWD,-0.07050977497932764,-0.08418389284731649,-0.1018401610891923
IWF,-0.09813871422988014,-0.11276017159842833,-0.12399428074139955
IWM,-0.08584076973064939,-0.10466436627136404,-0.1297996829900968
IWN,-0.08236032303840929,-0.1015408528479197,-0.127744432259549
IWO,-0.10147796522346711,-0.12175584004736263,-0.14307947960507322
IYR,-0.06852523329672391,-0.08232855876439975,-0.10014996574502129
LQD,-0.026056073247582044,-0.030780846098433696,-0.035974688545243584
SHY,-0.007949572189590838,-0.009336803005145186,-0.010914035436911008
SPY,-0.07714107878834046,-0.09057720914089212,-0.10186571151948136
TIP,-0.01733167251140141,-0.020212341128892846,-0.02456624129560384
TLT,-0.04763434817768715,-0.05399944018823196,-0.060553514433675765
USO,-0.4384073023296429,-0.513967677949455,-0.5814431984779923
VNQ,-0.06891570148551096,-0.0819145746450661,-0.09777970231093795
XLB,-0.10663007035425535,-0.11922352722128877,-0.12837377912814743
XLE,-0.1673712673066652,-0.18761293576183666,-0.22068519975310444
XLF,-0.0672975898783173,-0.08186731974246385,-0.09335403538203374
XLI,-0.10909327171510036,-0.13333655836446734,-0.15719996784689935
XLK,-0.10389469295373735,-0.11424563865533555,-0.12374583444325434
XLP,-0.09031109234282332,-0.10608004158827837,-0.11749142777448583
XLU,-0.08013570386892677,-0.09498534515442475,-0.11342982438154359
XLV,-0.10361076751399043,-0.11895061531877628,-0.13234744904319676
XLY,-0.09097921933187886,-0.10363745407584811,-0.12197369439270948
