,CVaR_95.0%,CVaR_97.5%,CVaR_99.0%
AGG,-0.02259375227562543,-0.026651361084650025,-0.028817341971554587
IEF,-0.027383687544618954,-0.03159872803153612,-0.03402139095032768
IJH,-0.09399369872649442,-0.1184513273172666,-0.1377724498306158
IJJ,-0.09717965717168316,-0.12050997126191772,-0.14714236469429195
ITOT,-0.09430109839730166,-0.1112119618366224,-0.12230494418537001
IVV,-0.09398335314028679,-0.10787080768536284,-0.11727978735442605
IWB,-0.09356970429779425,-0.10962120032438327,-0.11952142155929317
IWD,-0.08769678664224224,-0.1042210116960589,-0.11951520336726827
IWF,-0.11938876424704799,-0.1417617345434792,-0.16060576561416726
IWM,-0.10173262745782753,-0.12331207862890926,-0.1491851567371478
IWN,-0.10678971363541352,-0.12785484897515598,-0.1548782057794392
IWO,-0.11694313996830626,-0.1413878894884655,-0.16485424497490686
LQD,-0.029736161185161637,-0.03748415963190633,-0.04838902296392018
SHY,-0.007883273213718707,-0.00933672340677556,-0.010914000550088067
SPY,-0.09457341686596397,-0.10955982360563214,-0.11806787225523319
TIP,-0.019369226810757215,-0.024566362319895688,-0.028965947521687
TLT,-0.05077664375235353,-0.06106799440101609,-0.07008736119072885
VTI,-0.09344189673249416,-0.10985649721614804,-0.12132090422893023
XLB,-0.12208818973540263,-0.14538285040656176,-0.17341628131732367
XLE,-0.17650921960905305,-0.20102157355988637,-0.23147470892222466
XLF,-0.09624842437334667,-0.1123082585450631,-0.11914888856586943
XLI,-0.14280206140123652,-0.17156400770090272,-0.18629467723590443
XLK,-0.1268161163819565,-0.14447519505535628,-0.1652048871134104
XLP,-0.11160780078051606,-0.12948285635620504,-0.1463890461551288
XLU,-0.09429455770856167,-0.11189297818747307,-0.11799769583783944
XLV,-0.1200301231689223,-0.14075178647757994,-0.15382233979026955
XLY,-0.1080871553860273,-0.12939092930947127,-0.1503924042387342
