,0
AGG,-0.07112711386378777
IEF,-0.0725436349043039
IJH,-0.053348022790594765
IJJ,-0.07245037937150868
ITOT,-0.008811087031967165
IVV,-0.0011535060504397883
IWB,-0.0051764308372473375
IWD,-0.05645218319206291
IWF,-0.040355345727759166
IWM,-0.06823399825326627
IWN,-0.08398240672955436
IWO,-0.07404086424937488
LQD,-0.059378171509772495
SHY,-0.08694583221463048
SPY,
TIP,-0.0682783249222309
TLT,-0.07544786949630224
VTI,-0.008020125915685376
XLB,-0.09400282332247877
XLE,-0.1869876977824586
XLF,-0.07742135328762523
XLI,-0.061958985217395846
XLK,-0.05150203196256129
XLP,-0.07572603694330028
XLU,-0.08796118299540967
XLV,-0.08323259015117307
XLY,-0.07408397049858564
