Strategy,Asset,CVaR_Contribution,Contribution_Share,VaR_Threshold,CVaR_Estimate,N_Tail_Scenarios,N_Common_Assets
EqualWeight,XLE,0.004817550885085292,0.0655793348883223,0.04892175320624647,0.07346141727861824,11,27
EqualWeight,IWN,0.004231138490057878,0.05759674461507288,0.04892175320624647,0.07346141727861824,11,27
EqualWeight,IJJ,0.004187770322798297,0.05700639162616855,0.04892175320624647,0.07346141727861824,11,27
EqualWeight,IWM,0.004158858794992303,0.0566128309125719,0.04892175320624647,0.07346141727861824,11,27
EqualWeight,IWO,0.00408187980799713,0.05556494768560919,0.04892175320624647,0.07346141727861824,11,27
EqualWeight,XLI,0.004030919055310494,0.05487123996018706,0.04892175320624647,0.07346141727861824,11,27
EqualWeight,IJH,0.00394330986967727,0.053678652219864176,0.04892175320624647,0.07346141727861824,11,27
EqualWeight,XLF,0.0039359026913521064,0.05357782135381826,0.04892175320624647,0.07346141727861824,11,27
EqualWeight,XLB,0.003824483705063476,0.05206112060918043,0.04892175320624647,0.07346141727861824,11,27
EqualWeight,XLY,0.0036346796090306723,0.04947739566806024,0.04892175320624647,0.07346141727861824,11,27
EqualWeight,VTI,0.0033412584519639313,0.04548317437562481,0.04892175320624647,0.07346141727861824,11,27
EqualWeight,ITOT,0.003337537895519677,0.04543252797398865,0.04892175320624647,0.07346141727861824,11,27
EqualWeight,IWD,0.003311950518886783,0.04508421756043036,0.04892175320624647,0.07346141727861824,11,27
EqualWeight,IWF,0.003306204100136621,0.04500599393008073,0.04892175320624647,0.07346141727861824,11,27
EqualWeight,IWB,0.003281703102794076,0.04467247195010559,0.04892175320624647,0.07346141727861824,11,27
EqualWeight,XLK,0.003234637071458443,0.04403178146142192,0.04892175320624647,0.07346141727861824,11,27
EqualWeight,IVV,0.0032188284496782863,0.043816585207853885,0.04892175320624647,0.07346141727861824,11,27
EqualWeight,SPY,0.003213758703306942,0.043747572839740755,0.04892175320624647,0.07346141727861824,11,27
EqualWeight,XLV,0.002080420613871427,0.0283199084763228,0.04892175320624647,0.07346141727861824,11,27
EqualWeight,XLU,0.0018124149066623657,0.02467165722910561,0.04892175320624647,0.07346141727861824,11,27
EqualWeight,XLP,0.0017138672274237645,0.023330168283080543,0.04892175320624647,0.07346141727861824,11,27
EqualWeight,LQD,0.0008250054635026999,0.011230459390317627,0.04892175320624647,0.07346141727861824,11,27
EqualWeight,TIP,0.00045978233935307315,0.006258827509538096,0.04892175320624647,0.07346141727861824,11,27
EqualWeight,AGG,0.00018938958223265907,0.0025780823355797543,0.04892175320624647,0.07346141727861824,11,27
EqualWeight,SHY,-4.183558043954374e-05,-0.0005694905161014426,0.04892175320624647,0.07346141727861824,11,27
EqualWeight,IEF,-0.00015415130216421232,-0.002098398150685826,0.04892175320624647,0.07346141727861824,11,27
EqualWeight,TLT,-0.000515847496933668,-0.007022019395258945,0.04892175320624647,0.07346141727861824,11,27
MinVar,SHY,0.007245909705968048,0.8624804727424124,0.005003411471859433,0.008401244938251612,11,27
MinVar,AGG,0.0006287235545804328,0.07483695085686633,0.005003411471859433,0.008401244938251612,11,27
MinVar,XLE,0.0005971197182383383,0.07107514691300089,0.005003411471859433,0.008401244938251612,11,27
MinVar,XLU,0.00010986641037008246,0.013077396407031414,0.005003411471859433,0.008401244938251612,11,27
MinVar,XLP,9.848200184967488e-05,0.011722310511538311,0.005003411471859433,0.008401244938251612,11,27
MinVar,IWN,2.220666085370527e-05,0.002643258352413507,0.005003411471859433,0.008401244938251612,11,27
MinVar,TIP,6.591974360373674e-19,7.846425629563343e-17,0.005003411471859433,0.008401244938251612,11,27
MinVar,IEF,4.71526921447727e-19,5.612583907663772e-17,0.005003411471859433,0.008401244938251612,11,27
MinVar,TLT,1.5093290951514288e-19,1.796554089596079e-17,0.005003411471859433,0.008401244938251612,11,27
MinVar,LQD,1.4182015013490368e-19,1.688084934759895e-17,0.005003411471859433,0.008401244938251612,11,27
MinVar,XLV,6.824080728478716e-20,8.12270178840766e-18,0.005003411471859433,0.008401244938251612,11,27
MinVar,IJH,1.4071045403222635e-20,1.6748762244933392e-18,0.005003411471859433,0.008401244938251612,11,27
MinVar,IWD,9.42157329917625e-21,1.1214496623326614e-18,0.005003411471859433,0.008401244938251612,11,27
MinVar,XLY,5.153492402260086e-21,6.134200871582473e-19,0.005003411471859433,0.008401244938251612,11,27
MinVar,IWF,5.1414521465797984e-21,6.119869357897557e-19,0.005003411471859433,0.008401244938251612,11,27
MinVar,VTI,3.964297747919126e-21,4.718702736387709e-19,0.005003411471859433,0.008401244938251612,11,27
MinVar,XLI,2.6390740850804796e-21,3.1412893023324937e-19,0.005003411471859433,0.008401244938251612,11,27
MinVar,XLB,3.8565842707050147e-22,4.590491408178859e-20,0.005003411471859433,0.008401244938251612,11,27
MinVar,SPY,-2.645340588771357e-22,-3.148748320295826e-20,0.005003411471859433,0.008401244938251612,11,27
MinVar,IWB,-1.656191296502282e-21,-1.9713641355241254e-19,0.005003411471859433,0.008401244938251612,11,27
MinVar,IJJ,-1.93333406527389e-21,-2.30124711216459e-19,0.005003411471859433,0.008401244938251612,11,27
MinVar,IWM,-6.163224466823731e-21,-7.336084725683958e-19,0.005003411471859433,0.008401244938251612,11,27
MinVar,IVV,-6.174732261802884e-21,-7.349782451513564e-19,0.005003411471859433,0.008401244938251612,11,27
MinVar,ITOT,-1.9857952973871642e-20,-2.3636917051967652e-18,0.005003411471859433,0.008401244938251612,11,27
MinVar,IWO,-8.258445772538488e-20,-9.830026184496841e-18,0.005003411471859433,0.008401244938251612,11,27
MinVar,XLF,-0.0001278394888442537,-0.015216731542034827,0.005003411471859433,0.008401244938251612,11,27
MinVar,XLK,-0.00017322362476441803,-0.020618804241228056,0.005003411471859433,0.008401244938251612,11,27
